student_id,week,sleep_hours,study_hours,late_submissions,stress_level,social_activity_freq,emotional_state,exercise_hours,screen_time,burnout_label
STU-0224D9EC,1,,7.5,2,5,4,"Feeling okay, nothing special",,9.0,1
STU-0224D9EC,2,8.3,5.5,1,5,3,"Doing alright, could be better",1.2,9.0,1
STU-0224D9EC,3,7.7,8.8,1,5,3,"Average day, going through the motions",2.0,7.7,1
STU-0224D9EC,4,7.4,8.9,2,6,3,"Average day, going through the motions",1.3,7.5,1
STU-0224D9EC,5,7.6,6.5,1,3,3,"Feeling okay, nothing special",1.9,8.4,0
STU-0224D9EC,6,6.3,8.4,2,6,5,Feeling calm and focused,1.8,8.2,1
STU-0224D9EC,7,6.3,6.6,2,6,3,"Feeling okay, nothing special",2.3,8.0,1
STU-0224D9EC,8,7.8,7.0,1,5,5,Things are manageable but not exciting,2.1,9.2,0
STU-0224D9EC,9,7.6,7.8,1,5,4,Feeling indifferent about things,1.4,7.7,0
STU-0224D9EC,10,6.8,10.6,2,4,3,Feeling overwhelmed with assignments,2.1,9.7,1
STU-0224D9EC,11,8.4,8.8,1,5,4,"Neither good nor bad, just normal",1.6,6.7,0
STU-0224D9EC,12,,7.2,1,5,4,Just getting by day to day,2.1,6.8,0
STU-F23376DD,1,6.0,5.1,1,4,2,"Doing alright, could be better",1.7,8.9,1
STU-F23376DD,2,5.2,6.5,1,5,2,Struggling to concentrate on anything,2.1,9.4,1
STU-F23376DD,3,6.3,6.0,0,4,2,Happy and well-rested,2.9,10.9,0
STU-F23376DD,4,6.7,6.6,1,5,3,Feeling confident about exams,2.3,9.5,1
STU-F23376DD,5,6.2,6.2,1,5,1,"Feeling okay, nothing special",2.0,9.5,1
STU-F23376DD,6,6.2,8.5,1,7,1,"Average day, going through the motions",1.8,10.7,1
STU-F23376DD,7,6.2,8.4,1,5,2,Feeling hopeless about my grades,1.9,10.6,1
STU-F23376DD,8,6.6,6.4,1,4,2,"Good energy, looking forward to classes",2.5,10.5,1
STU-F23376DD,9,5.0,6.4,1,5,1,Feeling anxious about everything,2.6,12.0,1
STU-F23376DD,10,5.9,6.2,1,5,2,Struggling to concentrate on anything,2.3,10.4,1
STU-F23376DD,11,5.6,7.9,0,6,1,"Average day, going through the motions",2.1,10.3,1
